,count,mean,std,min,25%,50%,75%,max,99%,98%,95%,90%
1_Duk,292.0,557.0205479452055,534.5485228561306,6.0,185.75,388.0,737.75,3188.0,2539.9799999999946,2061.0200000000013,1654.5499999999993,1259.2000000000007
1amatory3,2024.0,313.5083992094862,312.00760939902324,1.0,109.75,250.5,418.0,3330.0,1713.54,1105.1799999999994,776.8499999999999,606.4000000000001
1awbreaker,167.0,823.8263473053893,654.1101928283022,15.0,361.0,667.0,1106.5,3186.0,3052.28,2622.2800000000016,2156.8999999999987,1758.0
1iiwameez,265.0,706.422641509434,496.111801091639,29.0,380.0,574.0,888.0,3322.0,2304.8400000000015,2064.8399999999983,1696.0,1370.4
1in1chicken,214.0,1120.0794392523364,673.2488802015506,53.0,612.75,975.0,1433.5,3278.0,3017.57,2937.4000000000005,2380.5,2179.6000000000004
1jonnie1,1875.0,642.2565333333333,574.4574646214176,1.0,268.5,488.0,818.5,3566.0,2824.6399999999994,2536.04,1781.3999999999992,1391.4000000000005
1kuhar,139.0,1018.410071942446,886.4159704402015,1.0,369.5,748.0,1302.0,3446.0,3438.86,3423.3199999999997,3163.0,2504.4
1mag1,380.0,694.9105263157895,550.0537871466205,2.0,381.0,566.0,882.25,3368.0,2613.559999999995,2312.4400000000023,1811.45,1364.4
1mayhem1,486.0,817.104938271605,786.3054882957493,4.0,315.25,540.0,1079.0,3599.0,3311.649999999998,3190.9000000000005,2618.75,2047.0
1mpulse59rus,102.0,1193.578431372549,793.7469910915077,322.0,553.25,1003.5,1585.5,3546.0,3523.4199999999987,3264.7600000000007,2987.4499999999975,2281.8
1nguamau,740.0,611.1608108108109,558.0422329717766,6.0,254.75,472.5,766.0,3595.0,3021.0600000000004,2618.720000000002,1611.2499999999998,1172.1
1ns1,908.0,511.5363436123348,552.1800792427464,1.0,138.5,365.5,686.25,3566.0,2917.919999999998,2398.76,1506.1999999999994,1089.9
1nvader_Zim,178.0,888.7078651685393,710.9541325443276,26.0,392.75,646.5,1202.5,3211.0,3106.7199999999993,2977.420000000001,2356.4500000000003,1970.1000000000013
1nvictusRex,215.0,566.9209302325581,457.1786377367921,26.0,268.5,447.0,677.5,3463.0,2205.699999999998,1923.4399999999998,1355.3999999999996,1109.1999999999998
1stGhost,157.0,963.0700636942676,724.1745532129321,29.0,431.0,773.0,1319.0,3496.0,3220.4399999999996,3093.3199999999997,2473.7999999999947,1846.8000000000006
